it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText.imgUrl,trendingText.heading,trendingText.desc
0,Petrol,Hatchback,"96,184",Automatic,2,2nd Owner,Honda,Honda Jazz,2016,1340,1.2 V AT i VTEC,₹ 5.60 Lakh,₹ 5.88 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"87,780",Manual,1,1st Owner,Hyundai,Hyundai i10,2014,1569,Magna 1.1L,₹ 3.35 Lakh,₹ 3.49 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"1,18,921",Manual,1,1st Owner,Hyundai,Hyundai i20,2015,1481,Sportz 1.2,₹ 4.45 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"73,834",Manual,2,2nd Owner,Ford,Ford Ecosport,2019,6093,1.5 Diesel Titanium BSIV,₹ 8.30 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Diesel,SUV,"20,000",Automatic,1,1st Owner,Mahindra,Mahindra Thar,2022,8076,LX 4-Str Hard Top Diesel AT BSVI,₹ 17.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"38,514",Manual,1,1st Owner,Maruti,Maruti Baleno,2016,3970,1.2 Alpha,₹ 6.30 Lakh,₹ 6.47 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Sedan,"74,401",Manual,2,2nd Owner,Maruti,Maruti Swift Dzire,2016,10244,VXI,₹ 5.27 Lakh,₹ 5.43 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,SUV,"40,000",Automatic,1,1st Owner,Hyundai,Hyundai Creta,2020,8054,SX Opt Turbo Dualtone BSVI,₹ 13.20 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,Hatchback,"9,000",Manual,1,1st Owner,Maruti,Maruti Swift,2022,10407,ZXI Plus,₹ 8.60 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
0,Petrol,SUV,"50,000",Manual,1,1st Owner,Hyundai,Hyundai Creta,2017,5362,1.6 VTVT E Plus,₹ 7.66 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days
